POA&M Item ID,Control Vulnerability Description,Controls / APs,Security Checks,POA&M Status,POA&M Scheduled Completion Date,POA&M Requested Risk Accepted Expiration Date,POA&M Completion Date,Milestone ID,Milestone Description,Milestone Status,Milestone Status Comments,Milestone Scheduled Completion Date,Milestone Completion Date,Identification Source,Identification Source Details,Office/Org,Resources Required,Comments,Raw Severity,Devices Affected,Mitigations (in-house and in conjunction with the Navy CSSP),Predisposing Conditions,Severity,Relevance of Threat,Threat Description,Likelihood,Impact,Impact Description,Residual Risk Level,Recommendations,Resulting Residual Risk after Proposed Mitigations
,"The operating system must employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.",CM-7(5),V-253262,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Alternate operating systems must not be permitted on the same system.,CM-6,V-253266,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Non-system-created file shares on a system must limit access to groups that require it.,SC-4,V-253267,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Only accounts responsible for the backup operations must be members of the Backup Operators group.,CM-6,V-253270,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Only authorized user accounts must be allowed to create or run virtual machines on Windows 11 systems.,AC-3(4),V-253271,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Accounts must be configured to require password expiration.,IA-5(1),V-253273,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Permissions for system files and directories must conform to minimum requirements.,AC-3(4),V-253274,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Simple Network Management Protocol (SNMP) must not be installed on the system.,CM-7,V-253276,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Software certificate installation files must be removed from Windows 11.,CM-6,V-253280,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,A host-based firewall must be installed and enabled on the system.,CM-6,V-253281,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Inbound exceptions to the firewall on Windows 11 domain workstations must only allow authorized remote management hosts.,CM-6,V-253282,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The Secondary Logon service must be disabled on Windows 11.,CM-7,V-253289,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Orphaned security identifiers (SIDs) must be removed from user rights on Windows 11.,CM-6,V-253290,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Bluetooth must be turned off unless approved by the organization.,CM-7,V-253291,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,The system must notify the user when a Bluetooth device attempts to connect.,CM-6,V-253293,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Windows 11 nonpersistent VM sessions must not exceed 24 hours.,SC-28,V-253295,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The system must be configured to audit Detailed Tracking - PNP Activity successes.,AU-12,V-253311,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,The system must be configured to audit Logon/Logoff - Group Membership successes.,AU-12,V-253314,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,The system must be configured to audit Object Access - Removable Storage failures.,AU-12,V-253323,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,The system must be configured to audit Object Access - Removable Storage successes.,AU-12,V-253324,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Camera access from the lock screen must be disabled.,CM-7,V-253350,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Windows 11 must cover or disable the built-in or attached camera when not in use.,CM-7,V-253351,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to prioritize ECC Curves with longer key lengths first.,IA-7,V-253363,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Virtualization-based Security must be enabled on Windows 11 with the platform security level configured to Secure Boot or Secure Boot with DMA Protection.,CM-6,V-253369,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Virtualization-based protection of code integrity must be enabled.,CM-6,V-253371,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Enhanced diagnostic data must be limited to the minimum required to support Windows Analytics.,CM-6,V-253392,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Windows Telemetry must not be configured to Full.,SI-11,V-253393,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The DoD Root CA certificates must be installed in the Trusted Root Store.,IA-5(2),V-253427,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The External Root CA certificates must be installed in the Trusted Root Store on unclassified systems.,IA-5(2),V-253428,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The DoD Interoperability Root CA cross-certificates must be installed in the Untrusted Certificates Store on unclassified systems.,SC-23(5),V-253429,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The US DOD CCEB Interoperability Root CA cross-certificates must be installed in the Untrusted Certificates Store on unclassified systems.,SC-23(5),V-253430,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Default permissions for the HKEY_LOCAL_MACHINE registry hive must be maintained.,AC-6(10),V-253431,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,The required legal notice must be configured to display before console logon.,AC-7,V-253445,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,"The system must be configured to use FIPS-compliant algorithms for encryption, hashing, and signing.",SC-13,V-253466,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,User Account Control must prompt administrators for consent on the secure desktop.,SC-3,V-253469,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,User Account Control must automatically deny elevation requests for standard users.,IA-11,V-253471,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Passwords for enabled local Administrator accounts must be changed at least every 60 days.,IA-5(1),V-253476,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Zone information must be preserved when saving attachments.,CM-6,V-253478,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,"The ""Change the system time"" user right must only be assigned to Administrators and Local Service.",AC-6(10),V-253484,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 must not have portproxy enabled or in use.,CM-7,V-257592,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Windows 11 must have command line process auditing events enabled for failures.,AC-6(9),V-257770,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Copilot must be disabled for Windows 11.,CM-7,V-268317,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 systems must use either Group Policy or an approved Mobile Device Management (MDM) product to enforce STIG compliance.,CM-6,V-268318,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to audit file system failures.,AU-12,V-278926,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to audit file system successes.,AU-12,V-278927,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to audit handle manipulation failures.,AU-12,V-278928,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to audit handle manipulation successes.,AU-12,V-278929,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to audit registry failures.,AU-12,V-278930,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to audit registry successes.,AU-12,V-278931,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 systems must block consumer account user authentication.,CM-7,V-279688,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to ask which certificate to present to a website when a certificate is required.,IA-5(2),V-251547,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to not automatically check for updated versions of installed search plugins.,CM-7,V-251548,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to not automatically execute or download MIME types that are not authorized for auto-download.,,V-251550,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to not use a password store with or without a master password.,CM-7,V-251552,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to block pop-up windows.,CM-7,V-251553,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to prevent JavaScript from moving or resizing windows.,CM-7,V-251554,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to prevent JavaScript from raising or lowering windows.,CM-7,V-251555,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to disable the installation of extensions.,CM-7,V-251557,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must have the DOD root certificates installed.,IA-5(2),V-251560,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must prevent the user from quickly deleting data.,AU-10,V-251562,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox private browsing must be disabled.,CM-7,V-251563,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox search suggestions must be disabled.,CM-7,V-251564,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox network prediction must be disabled.,CM-7,V-251566,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox Enhanced Tracking Protection must be enabled.,CM-7,V-251569,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox extension recommendations must be disabled.,CM-7,V-251570,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox deprecated ciphers must be disabled.,CM-7,V-251571,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,"The Firefox New Tab page must not show Top Sites, Sponsored Top Sites, Pocket Recommendations, Sponsored Pocket Stories, Searches, Highlights, or Snippets.",CM-7,V-251573,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured so that DNS over HTTPS is disabled.,CM-7,V-251577,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox accounts must be disabled.,CM-7,V-251578,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox feedback reporting must be disabled.,CM-7,V-251580,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox encrypted media extensions must be disabled.,CM-7,V-251581,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox must be configured to not delete data upon shutdown.,CM-7,V-252881,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Pocket must be disabled.,CM-7,V-252908,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox Studies must be disabled.,CM-7,V-252909,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must be configured to check in real time with MAPS before content is run or accessed.,SI-3,V-213433,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must join Microsoft MAPS.,SC-18(4),V-213434,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must be configured to only send safe samples for MAPS telemetry.,SC-18(4),V-213435,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Adobe Acrobat Pro DC Continuous FIPS mode must be enabled.,SC-13,V-245874,Ongoing,,,,,,,,,,Adobe Acrobat Professional DC Continuous Track Security Technical Implementation Guide,,,,,medium,"WKS2-SOTERIA, WKS3-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,AutoComplete feature for forms must be disallowed.,CM-7,V-223122,Ongoing,,,,,,,,,,Microsoft Internet Explorer 11 Security Technical Implementation Guide,,,,,medium,"WKS2-SOTERIA, WKS3-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Turn on the auto-complete feature for user names and passwords on forms must be disabled.,CM-7,V-223124,Ongoing,,,,,,,,,,Microsoft Internet Explorer 11 Security Technical Implementation Guide,,,,,medium,"WKS2-SOTERIA, WKS3-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Adobe Reader DC must enable FIPS mode.,SC-13,V-213193,Ongoing,,,,,,,,,,Adobe Acrobat Reader DC Continuous Track Security Technical Implementation Guide,,,,,medium,WKS7-SOTERIA,,,,,,,,,,,
,"Title:
Microsoft Teams for Desktop < 25163.3611.3774.6315 Elevation of Privilege (July 2025)

Description:
The version of Microsoft Teams for Desktop on the remote Windows host is prior to 25163.3611.3774.6315 It is, therefore, affected by an elevation of privilege vulnerability:

  - Improper handling of insufficient permissions or privileges in Microsoft Teams allows an authorized     attacker to elevate privileges over a network. (CVE-2025-49731)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.",,264898,Ongoing,,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,,,,Low,"WKS7-SOTERIA, WKS6-SOTERIA, WKS5-SOTERIA, WKS3-SOTERIA",,,,,,,,,,,
